keywords,abstract/ms,abstract/bytes,matrix/ms,matrix/bytes,tree/ms,tree/bytes,kmp/ms,kmp/bytes
1,275.049,552,4.044,550432,220.706,79392,4.253,550432
2,277.895,552,4.347,550432,223.855,79392,8.295,550432
3,280.276,552,4.556,550432,224.465,79392,12.133,550432
4,281.092,552,4.643,550432,224.667,79392,16.433,550432
5,283.606,552,4.929,550432,228.046,79392,20.22,550432
6,281.779,552,4.876,550432,226.175,79392,24.157,550432
7,283.046,552,4.943,550432,226.909,79392,28.182,550432
8,285.213,552,5.559,550432,231.26,79392,32.266,550432
9,291.461,552,5.468,550432,233.142,79392,36.429,550432
10,292.949,552,6.272,550432,235.95,79392,40.378,550432
11,291.551,552,6.053,550432,239.02,79392,44.361,550432
12,290.445,552,5.925,550432,237.741,79392,48.305,550432
13,290.167,552,6.133,550432,237.925,79392,52.764,550432
14,294.657,552,6.514,550432,242.248,79392,56.427,550432
15,292.892,552,6.723,550432,240.961,79392,60.36,550432
16,296.944,552,6.604,550432,241.252,79392,64.35,550432
17,309.645,552,7.483,550432,249.71,79392,68.468,550432
18,303.109,552,7.616,550432,251.349,79392,72.486,550432
19,301.864,552,7.309,550432,248.563,79392,76.53,550432
20,298.525,552,7.192,550432,248.464,79392,80.611,550432
21,300.476,552,7.05,550432,249.694,79392,84.618,550432
22,303.434,552,7.248,550432,250.682,79392,88.894,550432
23,304.194,552,7.636,550432,251.14,79392,92.594,550432
24,310.448,552,8.043,550432,257.932,79392,96.725,550432
25,299.832,552,7.199,550432,249.464,79392,100.601,550432
26,312.031,552,8.19,550432,258.475,79392,104.726,550432
27,314.85,552,8.612,550432,259.521,79392,108.802,550432
28,308.422,552,8.076,550432,253.848,79392,114.36,550432
29,314.724,552,8.384,550432,258.055,79392,117.57,550432
30,316.063,552,9.138,550432,261.962,79392,120.788,550432
31,309.546,552,8.314,550432,259.044,79392,124.637,550432
32,319.913,552,9.737,550432,266.692,79392,129.052,550432
33,315.77,552,8.813,550432,265.503,79392,133.325,550432
34,320.758,552,9.513,550432,267.941,79392,137.076,550432
35,318.106,552,9.189,550432,265.671,79392,141.103,550432
36,320.017,552,9.312,550432,267.845,79392,145.827,550432
37,320.813,552,9.59,550432,265.281,79392,149.075,550432
38,328.046,552,10.206,550432,271.602,79392,153.094,550432
39,326.581,552,9.817,550432,271.526,79392,157.041,550432
40,323.064,552,9.936,550432,270.788,79392,161.078,550432
41,333.003,552,10.364,550432,277.835,79392,165.134,550432
42,328.929,552,10.297,550432,275.13,79392,168.981,550432
43,329.342,552,10.229,550432,273.644,79392,172.974,550432
44,330.568,552,10.381,550432,276.238,79392,177.052,550432
45,334.065,552,10.261,550432,280.783,79392,180.641,550432
46,342.395,552,9.628,550432,287.423,79392,185.294,550432
47,330.662,552,10.311,550432,276.074,79392,190.268,550432
48,331.41,552,10.278,550432,273.335,79392,193.4,550432
49,331.905,552,10.57,550432,278.857,79392,197.381,550432
50,346.81,552,9.452,550432,287.06,79392,201.473,550432
51,337.879,552,10.139,550432,284.003,79392,205.911,550432
52,337.881,552,10.211,550432,282.443,79392,209.777,550432
53,337.882,552,10.076,550432,283.989,79392,215.284,550432
54,338.703,552,10.118,550432,283.962,79392,218.223,550432
55,338.496,552,9.898,550432,284.792,79392,221.497,550432
56,335.633,552,10.251,550432,279.177,79392,225.612,550432
57,338.084,552,10.308,550432,279.649,79392,229.776,550432
58,350.925,552,9.173,550432,293.786,79392,234.542,550432
59,350.151,552,9.223,550432,295.991,79392,237.734,550432
60,343.653,552,9.791,550432,286.723,79392,242.487,550432
61,352.088,552,9.007,550432,313.389,79392,252.775,550432
62,353.201,552,9.825,550432,315.347,79392,251.191,550432
63,344.849,552,9.764,550432,290.951,79392,254.591,550432
64,348.847,552,9.195,550432,294.216,79392,259.24,550432
65,348.491,552,9.224,550432,293.91,79392,262.554,550432
66,341.582,552,10.154,550432,288.088,79392,266.093,550432
67,343.084,552,10.285,550432,286.305,79392,269.657,550432
68,346.612,552,9.589,550432,289.642,79392,273.347,550432
69,349.668,552,9.813,550432,297.254,79392,283.631,550432
70,381.35,552,9.191,550432,302.888,79392,287.289,550432
71,349.971,552,10.387,550432,294.935,79392,291.909,550432
72,360.892,552,9.917,550432,302.395,79392,296.419,550432
73,356.217,552,9.957,550432,294.271,79392,300.345,550432
74,366.404,552,9.5,550432,304.666,79392,300.785,550432
75,361.31,552,9.303,550432,304.553,79392,306.943,550432
76,362.473,552,9.544,550432,301.267,79392,312.93,550432
77,361.739,552,9.787,550432,301.012,79392,316.012,550432
78,364.302,552,9.246,550432,304.764,79392,320.093,550432
79,367.982,552,8.859,550432,310.498,79392,326.402,550432
80,363.75,552,9.614,550432,301.854,79392,328.815,550432
81,375.531,552,8.782,550432,312.7,79392,333.116,550432
82,367.486,552,9.342,550432,305.115,79392,337.239,550432
83,369.787,552,9.092,550432,311.186,79392,340.795,550432
84,367.925,552,8.943,550432,309.281,79392,342.094,550432
85,362.024,552,8.863,550432,307.831,79392,350.446,550432
86,371.135,552,8.637,550432,312.498,79392,352.979,550432
87,377.368,552,8.547,550432,317.637,79392,358.367,550432
88,375.236,552,8.664,550432,315.455,79392,361.286,550432
89,372.11,552,8.852,550432,314.289,79392,366.675,550432
90,380.565,552,8.511,550432,319.38,79392,367.156,550432
91,380.182,552,8.265,550432,316.49,79392,371.489,550432
92,374.435,552,8.929,550432,318.472,79392,371.342,550432
93,366.555,552,8.741,550432,305.056,79392,381.106,550432
94,379.463,552,8.55,550432,319.711,79392,388.409,550432
95,383.42,552,8.789,550432,319.882,79392,390.98,550432
96,377.161,552,8.915,550432,315.92,79392,396.338,550432
97,374.185,552,8.456,550432,314.699,79392,398.785,550432
98,376.151,552,8.629,550432,327.9,79392,406.347,550432
99,374.985,552,9.09,550432,316.951,79392,399.417,550432
100,372.047,552,8.341,550432,313.353,79392,404.158,550432
